iso,first_best,first_best_Fixed_Effects,second_best,second_best_Fixed_Effects,third_best,third_best_Fixed_Effects
AUS,0.903890879054248,0.67990260799764,0.210090461892709,0.232826427224864,0.140529618535545,0.220989626443635
AUT,1.31150114144198,1.13676143894921,0.65749842683529,0.587298095753197,0.44618523029023,0.490396817493366
BEL,1.30882883432923,0.987446558128191,0.685098001878415,0.588780881345952,0.502129665968143,0.47181214687726
BGR,2.01426660617858,1.30097874769628,0.625904728199367,0.644595885223986,0.524542455756483,0.584490179463804
BRA,1.86926836578287,1.0579331626736,0.225892342868206,0.28140503549301,0.169102205849403,0.264776360410623
CAN,1.71608251614697,0.937979510711484,0.574482548888677,0.388466769638329,0.446761778421356,0.340296548051278
CHE,1.04374218244589,1.09693549100307,0.561729062389049,0.573927976520361,0.46431313005475,0.501381543213397
CHN,1.7602251889975,1.24612814759197,0.265309239092071,0.304771135404769,0.238713888243036,0.288539796112852
CYP,1.7466672031897,1.23421459128765,0.681828947291718,0.672659816682586,0.614223670278324,0.65514363937611
CZE,1.67952112517109,1.29126723647994,0.880814189404022,0.755184488077942,0.544276941551036,0.635480590113624
DEU,1.71165522668768,1.36771266418363,0.780190866460617,0.665938564361102,0.489993517665166,0.557080470408966
DNK,1.2211668308076,1.18666786652148,0.57995083020117,0.549278266065212,0.476741577240403,0.472059039447914
ESP,1.53490634554909,1.10638510303935,0.520731289553211,0.472291385538148,0.386161864324319,0.418551551197566
EST,1.18250094088412,1.04267712935386,0.617369621497144,0.58585943101499,0.448940617054783,0.507097107387811
FIN,1.40010798010877,1.13604238984835,0.538127429626511,0.495535181556139,0.251482316382057,0.41513238681008
FRA,1.20439640384458,0.837702822585129,0.450477710408848,0.411561439355324,0.338186156843401,0.357055368944659
GBR,1.09243743409546,0.890159937763224,0.475156560057077,0.452234453667266,0.415697850427699,0.416448978685069
GRC,1.81993788530481,1.14118900045017,0.590106021803116,0.543162739829062,0.527599748223095,0.495307076211682
HRV,1.0331970952723,0.989844906128168,0.554196954116049,0.517449835353623,0.449075339076965,0.46519284212605
HUN,2.2492972948104,1.46791386154379,1.06300909318637,0.845455282717733,0.731957733742616,0.6849757648137
IDN,1.99648181031324,1.15237579950431,0.358419713630176,0.359579561801193,0.26489708943549,0.337680291810272
IND,1.80772279164894,1.14931956444764,0.349829587903616,0.367036657699971,0.31065240597099,0.340477344578138
IRL,0.858134874782079,0.846464307543537,0.680707574525519,0.66261538881387,0.529328749136093,0.529937465265662
ITA,1.50116682297543,1.13340256739738,0.459121923206562,0.456283378393763,0.260042727456478,0.398825631264943
JPN,1.48150385735681,1.0173342978445,0.319581670399915,0.327141782710738,0.221079598140639,0.29254273909578
KOR,2.12186515301498,1.57746856334946,0.653843178906444,0.712603114615762,0.493040259234534,0.646331350265061
LTU,2.50097076530573,1.56258896443517,0.932101409728281,0.869999167910485,0.761873391309331,0.747923685307317
LUX,0.931920337897307,0.969234688504761,0.811333116685198,0.851197571766438,0.784241538369757,0.836685544409121
LVA,0.913307974836486,0.84810444910306,0.539023328559352,-0.00106807401567544,0.441748611285497,0.402382281108582
MEX,2.23627981275345,1.26179380000493,0.598979251173959,0.577999232363702,0.43800543277237,0.521226472853509
MLT,1.35109295549083,1.23407737849472,0.920304621366119,0.850075111491466,0.82337954601861,0.807300961331192
NLD,1.35469179456145,1.12040020258248,0.662451551329379,0.617601977120263,0.540107879985641,0.522734739177499
NOR,1.1889392990422,1.02040789353601,0.402981060717567,0.399778468131617,0.266468511925266,0.367122889952287
POL,2.1885266342452,1.37534754621973,0.759134954313101,0.70209843679645,0.651558882721637,0.636288421021636
PRT,2.03923576733351,1.22605770312012,0.740045735260075,0.604035747849263,0.651003406120165,0.551284851476597
ROU,2.04601103254642,1.41372415245717,0.769717720738261,0.737669275706954,0.674548599888913,0.694301836978917
RUS,2.393980082726,1.15425680983807,0.321341697468158,0.294913071273628,0.273547919422379,0.271321254705348
SVK,2.00916838716101,1.46976256681091,1.05916654632543,0.914847437405397,0.788299949134097,0.803008165829788
SVN,1.42274697225306,1.2547897170059,0.871785359528343,0.757368212772258,0.669130164762199,0.658192638913291
SWE,1.20650165993965,1.06149056652278,0.617035207032601,0.542816223293907,0.453280106932064,0.460946541273088
TUR,1.43345944351401,1.1337274584414,0.460547276889933,0.500650317057394,0.322141304948032,0.453609899508201
TWN,2.18181427488875,1.5075402407916,0.68976106138483,0.77073634683873,0.560129415534605,0.709503039961201
USA,1.52828688006581,0.876472596035138,0.315656174206724,0.263840084804956,0.267515392317197,0.242356972094737
